2025-10-15 08:24:34,6,User,UserLogout,0,Lukas logged out
2025-10-15 15:16:16,7,User,RegistrationRequested,7,Lukke requested registration
2025-10-16 07:39:55,7,Admin,UserLogin,7,Lukke logged in
2025-10-16 07:47:36,8,User,RegistrationRequested,8,John requested registration
2025-10-16 07:48:04,2,Admin,UserLogin,2,Admin logged in
2025-10-16 08:47:18,7,Admin,UserLogin,7,Lukke logged in
2025-10-16 12:59:36,9,User,RegistrationRequested,9,2 requested registration
2025-10-20 09:10:14,6,Admin,UserLogin,6,Lukas logged in
2025-10-20 09:54:06,6,Admin,UserLogin,6,Lukas logged in
2025-10-20 13:45:57,6,Admin,UserLogin,6,Lukas logged in
2025-10-20 13:49:59,6,Admin,UserLogin,6,Lukas logged in
2025-10-20 13:56:25,6,Admin,UserLogin,6,Lukas logged in
2025-10-20 14:04:56,6,Admin,UserLogin,6,Lukas logged in
2025-10-20 14:08:34,6,Admin,UserLogin,6,Lukas logged in
2025-10-20 14:19:47,6,Admin,UserLogin,6,Lukas logged in
2025-10-20 14:25:45,6,Admin,UserLogin,6,Lukas logged in
2025-10-20 14:27:08,6,Admin,UserLogin,6,Lukas logged in
2025-10-20 14:29:19,6,Admin,UserLogin,6,Lukas logged in
2025-10-20 14:38:04,6,Admin,UserLogin,6,Lukas logged in
2025-10-20 14:38:10,6,Admin,RegistrationAccepted,0,Lukas accepted registration
2025-10-20 14:38:23,6,Admin,RegistrationDenied,0,Lukas denied registration
10/20/2025 3:29:20 PM,10,User,RegistrationRequested,10,Emanuel requested registration
10/20/2025 3:34:39 PM,11,User,RegistrationRequested,11,Hej requested registration
